codigo,descricao,infracao,,,,,,,,,,,,,,,,,
32.2.2.3 ,Os documentos que compõem o PPRA estão disponíveis aos trabalhadores?,2,,,,,,,,,,,,,,,,,
32.2.3,,,,,,,,,,,,,,,,,,,
32.2.3.1,O PCMSO contempla as disposições da NR-07?,,,,,,,,,,,,,,,,,,
32.2.3.1.a,O PCMSO contempla o reconhecimento e a avaliação dos riscos biológicos?,3,,,,,,,,,,,,,,,,,
32.2.3.1.b,O PCMSO contempla a localização das áreas de risco segundo os parâmetros do item 32.2.2;,3,,,,,,,,,,,,,,,,,
32.2.3.1.c.a,O PCMSO menciona relação contendo a identificação nominal dos trabalhadores? ,3,,,,,,,,,,,,,,,,,
32.2.3.1.c.b,O PCMSO menciona relação contendo a função dos trabalhadores?,3,,,,,,,,,,,,,,,,,
32.2.3.1.c.c,O PCMSO menciona relação contendo o local em que os trabalhadores desempenham suas atividades?,3,,,,,,,,,,,,,,,,,
32.2.3.1.c.d,O PCMSO menciona relação contendo o risco a que estão expostos os trabalhadores?,3,,,,,,,,,,,,,,,,,
32.2.3.1.d,O PCMSO contempla a vigilância médica dos trabalhadores potencialmente expostos?,3,,,,,,,,,,,,,,,,,
32.2.3.1.e,O PCMSO contempla o programa de vacinação.,3,,,,,,,,,,,,,,,,,
32.2.3.2 ,"Sempre que ocorre transferência permanente de um trabalhador para um outro posto de trabalho, que implique em mudança de risco, esta é comunicada de imediato ao médico coordenador ou responsável pelo PCMSO?",2,,,,,,,,,,,,,,,,,
,"Sempre que ocorre transferência ocasional de um trabalhador para um outro posto de trabalho, que implique em mudança de risco, esta é comunicada de imediato ao médico coordenador ou responsável pelo PCMSO?",2,,,,,,,,,,,,,,,,,
32.2.3.3 ,,,,,,,,,,,,,,,,,,,
32.2.3.3.a,"Consta do PCMSO, em relação à possibilidade de exposição acidental aos agentes biológicos, os procedimentos a serem adotados para diagnóstico da soroconversão e das doenças?",2,,,,,,,,,,,,,,,,,
32.2.3.3.b,"Com relação à possibilidade de exposição acidental aos agentes biológicos, consta no PCMSO as medidas para descontaminação do local de trabalho?",2,,,,,,,,,,,,,,,,,
32.2.3.3.c,"Com relação à possibilidade de exposição acidental aos agentes biológicos, consta no PCMSO, o tratamento médico de emergência para os trabalhadores?",2,,,,,,,,,,,,,,,,,
32.2.3.3.d,"Com relação à possibilidade de exposição acidental aos agentes biológicos, consta no PCMSO a identificação dos responsáveis pela aplicação das medidas pertinentes?",2,,,,,,,,,,,,,,,,,
32.2.3.3.e,"Com relação à possibilidade de exposição acidental aos agentes biológicos, consta no PCMSO a relação dos estabelecimentos de saúde que podem prestar assistência aos trabalhadores?",2,,,,,,,,,,,,,,,,,
32.2.3.3.f,"Com relação à possibilidade de exposição acidental aos agentes biológicos, consta no PCMSO  as formas de remoção para atendimento dos trabalhadores?",2,,,,,,,,,,,,,,,,,
32.2.3.3.g.a,"Com relação à possibilidade de exposição acidental aos agentes biológicos, consta no PCMSO a relação dos estabelecimentos de assistência à saúde depositários de imunoglobulinas?",2,,,,,,,,,,,,,,,,,
32.2.3.3.g.b,"Com relação à possibilidade de exposição acidental aos agentes biológicos, consta no PCMSO a relação dos estabelecimentos fornecedores de vacinas?",2,,,,,,,,,,,,,,,,,
32.2.3.3.g.c,"Com relação à possibilidade de exposição acidental aos agentes biológicos, consta no PCMSO a relação dos estabelecimentos fornecedores de medicamentos necessários?",2,,,,,,,,,,,,,,,,,
32.2.3.3.g.d,"Com relação à possibilidade de exposição acidental aos agentes biológicos, consta no PCMSO a relação dos estabelecimentos  fornecedores de materiais e insumos especiais?",2,,,,,,,,,,,,,,,,,
32.2.3.4 ,"O PCMSO está à disposição dos trabalhadores, bem como da inspeção do trabalho?",2,,,,,,,,,,,,,,,,,
32.2.3.5 ," Em toda ocorrência de acidente envolvendo riscos biológicos, com ou sem afastamento do trabalhador, é emitida a Comunicação de Acidente de Trabalho – CAT?",4,,,,,,,,,,,,,,,,,
32.2.4 ,,,,,,,,,,,,,,,,,,,
32.2.4.1,"As medidas de proteção são adotadas a partir do resultado da avaliação, previstas no PPRA?",4,,,,,,,,,,,,,,,,,
32.2.4.1.1 ,"Em caso de exposição acidental ou incidental, medidas de proteção são adotadas imediatamente, mesmo que não previstas no PPRA?",4,,,,,,,,,,,,,,,,,
,"Em caso de exposição incidental, medidas de proteção são adotadas imediatamente, mesmo que não previstas no PPRA?",4,,,,,,,,,,,,,,,,,
32.2.4.2 ,"A manipulação em ambiente laboratorial segue as orientações contidas na publicação do Ministério da Saúde - Diretrizes Gerais para o Trabalho em Contenção com Material Biológico, correspondentes aos respectivos microrganismos?",4,,,,,,,,,,,,,,,,,
32.2.4.3 ,Todo local onde exista possibilidade de exposição ao agente biológico tem lavatório exclusivo para higiene das mãos provido de água corrente?,3,,,,,,,,,,,,,,,,,
32.2.4.3.a,Todo local onde exista possibilidade de exposição ao agente biológico tem lavatório exclusivo para higiene das mãos provido de sabonete líquido?,3,,,,,,,,,,,,,,,,,
32.2.4.3.b,"Todo local onde exista possibilidade de exposição ao agente biológico tem lavatório exclusivo para higiene das mãos provido de água corrente, sabonete líquido, toalha descartável?",3,,,,,,,,,,,,,,,,,
32.2.4.3.c,Todo local onde exista possibilidade de exposição ao agente biológico tem lavatório exclusivo para higiene das mãos provido de lixeira dotada de sistema de abertura sem contato manual?,3,,,,,,,,,,,,,,,,,
32.2.4.3.1 ,Os quartos ou enfermarias destinados ao isolamento de pacientes portadores de doenças infecto-contagiosas conteêm lavatório em seu interior?,3,,,,,,,,,,,,,,,,,
32.2.4.3.2 ,"Mesmo com o uso de luvas, o processo de lavagem das mãos ocorre no mínimo, antes e depois do uso das mesmas?",3,,,,,,,,,,,,,,,,,
32.2.4.4 ,Os trabalhadores com feridas ou lesões nos membros superiores iniciam suas atividades após avaliação médica obrigatória com emissão de documento de liberação para o trabalho?,4,,,,,,,,,,,,,,,,,
32.2.4.5 ,,,,,,,,,,,,,,,,,,,
32.2.4.5.a,A empresa veda a utilização de pias de trabalho para fins diversos dos previstos?,4,,,,,,,,,,,,,,,,,
32.2.4.5.b.a,A empresa veda o ato de fumar nos postos de trabalho?,4,,,,,,,,,,,,,,,,,
32.2.4.5.b.b,A empresa veda o uso de adornos nos postos de trabalho,4,,,,,,,,,,,,,,,,,
32.2.4.5.b.c,A empresa veda o manuseio de lentes de contato nos postos de trabalho?,4,,,,,,,,,,,,,,,,,
32.2.4.5.c.a,A empresa veda o consumo de alimentos nos postos de trabalho?,4,,,,,,,,,,,,,,,,,
32.2.4.5.c.b,A empresa veda o consumo de bebidas nos postos de trabalho?,4,,,,,,,,,,,,,,,,,
32.2.4.5.d,A empresa veda a guarda de alimentos em locais não destinados para este fim?,4,,,,,,,,,,,,,,,,,
32.2.4.5.e,A empresasa veda o uso de calçados abertos?,4,,,,,,,,,,,,,,,,,
32.2.4.6 ,Todos trabalhadores com possibilidade de exposição a agentes biológicos utilizam vestimenta de trabalho adequada e em condições de conforto?,4,,,,,,,,,,,,,,,,,
32.2.4.6.1 , A vestimenta é fornecida pela empresa sem ônus para o empregado?,4,,,,,,,,,,,,,,,,,
32.2.4.6.2 , Os trabalhadores são orientados a não deixar o local de trabalho com os equipamentos de proteção individual e as vestimentas utilizadas em suas atividades laborais?,4,,,,,,,,,,,,,,,,,
32.2.4.6.2.a,Os trabalhadores são orientados a não deixar o local de trabalho com as vestimentas utilizadas em suas atividades laborais?,4,,,,,,,,,,,,,,,,,
32.2.4.6.3 ,A empresa providencia locais apropriados para fornecimento de vestimentas limpas?,3,,,,,,,,,,,,,,,,,
32.2.4.6.3.a,A empresa providencia locais apropriados para deposição das vestimentas usadas?,3,,,,,,,,,,,,,,,,,
32.2.4.6.4 ,A higienização das vestimentas utilizadas nos centros cirúrgicos e obstétricos é de responsabilidade da empresa?,4,,,,,,,,,,,,,,,,,
32.2.4.6.4.a,A higienização das vestimentas utilizadas nos serviços de tratamento intensivo é de responsabilidade da empresa?,4,,,,,,,,,,,,,,,,,
32.2.4.6.4.b,A higienização das vestimentas utilizadas nas unidades de pacientes com doenças infecto-contagiosa é de responsabilidade da empresa?,4,,,,,,,,,,,,,,,,,
32.2.4.6.4.c,A higienização das vestimentas utilizadas quando houver contato direto com material orgânico é de responsabilidade da empresa?,4,,,,,,,,,,,,,,,,,
32.2.4.7 ,"Os Equipamentos de Proteção Individual - EPI, descartáveis ou não, estão à disposição em número suficiente nos postos de trabalho, de forma que seja garantido o imediato fornecimento ou reposição?",4,,,,,,,,,,,,,,,,,
32.2.4.8 ,,,,,,,,,,,,,,,,,,,
32.2.4.8.a,A empresa garante a conservação e a higienização dos materiais e instrumentos de trabalho?;,4,,,,,,,,,,,,,,,,,
32.2.4.8.b.a,A empresa providencia recipientes e meios de transporte adequados para materiais infectantes?,4,,,,,,,,,,,,,,,,,
32.2.4.8.b.b,A empresa providencia recipientes e meios de transporte adequados para fluidos orgânicos?,4,,,,,,,,,,,,,,,,,
32.2.4.8.b.c,A empresa providencia recipientes e meios de transporte adequados para tecidos orgânicos?,4,,,,,,,,,,,,,,,,,
32.2.4.9 ,,,,,,,,,,,,,,,,,,,
32.2.4.9.a.a, A empresa assegura capacitação aos trabalhadores antes do início das atividades de exposição dos trabalhadores aos agentes biológicos?,3,,,,,,,,,,,,,,,,,
32.2.4.9.a.b,A empresa assegura capacitação continuada aos trabalhadores com atividades de exposição dos trabalhadores aos agentes biológicos?,3,,,,,,,,,,,,,,,,,
32.2.4.9.a.c,A empresa assegura capacitação aos trabalhadores sempre que ocorrer uma mudança das condições de exposição aos agentes biológicos?,3,,,,,,,,,,,,,,,,,
32.2.4.9.b.a,A capacitação dos trabalhadores é ministrada durante a jornada de trabalho?,2,,,,,,,,,,,,,,,,,
32.2.4.9.b.b,A capacitação de forma continuada dos trabalhadores é ministrada durante a jornada de trabalho?,2,,,,,,,,,,,,,,,,,
32.2.4.9.c.a,"A Capacitação aos trabalhadores, antes do início das atividades é ministrada por profissionais de saúde familiarizados com os riscos inerentes aos agentes biológicos?",3,,,,,,,,,,,,,,,,,
32.2.4.9.c.b,A Capacitação continuada dos trabalhadores é ministrada por profissionais de saúde familiarizados com os riscos inerentes aos agentes biológicos?,3,,,,,,,,,,,,,,,,,
32.2.4.9.1 ,,,,,,,,,,,,,,,,,,,
32.2.4.9.1.a,A capacitação é adaptada à evolução do conhecimento e à identificação de novos riscos biológicos incluindo os dados disponíveis sobre riscos potenciais para a saúde?,3,,,,,,,,,,,,,,,,,
32.2.4.9.1.b,A capacitação é adaptada à evolução do conhecimento e à identificação de novos riscos biológicos e inclui medidas de controle que minimizem a exposição aos agentes?,3,,,,,,,,,,,,,,,,,
32.2.4.9.1.c,A capacitação é adaptada à evolução do conhecimento e à identificação de novos riscos biológicos e inclui  normas e procedimentos de higiene?,3,,,,,,,,,,,,,,,,,
32.2.4.9.1.d.a,A capacitação é adaptada à evolução do conhecimento e à identificação de novos riscos biológicos e inclui utilização de equipamentos de proteção coletiva?,3,,,,,,,,,,,,,,,,,
32.2.4.9.1.d.b,A capacitação é adaptada à evolução do conhecimento e à identificação de novos riscos biológicos e inclui utilização de equipamentos de proteção individual?,3,,,,,,,,,,,,,,,,,
32.2.4.9.1.d.c,A capacitação é adaptada à evolução do conhecimento e à identificação de novos riscos biológicos e inclui utilização de vestimentas de trabalho?,3,,,,,,,,,,,,,,,,,
32.2.4.9.1.e.a,A capacitação é adaptada à evolução do conhecimento e à identificação de novos riscos biológicos e inclui medidas para a prevenção de acidentes?,3,,,,,,,,,,,,,,,,,
32.2.4.9.1.e.b,A capacitação é adaptada à evolução do conhecimento e à identificação de novos riscos biológicos e inclui medidas para a prevenção de incidentes?,3,,,,,,,,,,,,,,,,,
32.2.4.9.1.f,A capacitação é adaptada à evolução do conhecimento e à identificação de novos riscos biológicos e inclui medidas a serem adotadas pelos trabalhadores no caso de ocorrência de incidentes?,3,,,,,,,,,,,,,,,,,
32.2.4.9.2 ,A empresa pode comprovar para a inspeção do trabalho a capacitação dos trabalhadores através de documentos que informem a data de sua realização?,1,,,,,,,,,,,,,,,,,
32.2.4.9.2.a,A empresa pode comprovar para a inspeção do trabalho a capacitação dos trabalhadores através de documentos que o horário de seu início?,1,,,,,,,,,,,,,,,,,
32.2.4.9.2.b,A empresa pode comprovar para a inspeção do trabalho a capacitação dos trabalhadores através de documentos que informem a sua carga horária?,1,,,,,,,,,,,,,,,,,
32.2.4.9.2.c,A empresa pode comprovar para a inspeção do trabalho a capacitação dos trabalhadores através de documentos que informem o conteúdo ministrado?,1,,,,,,,,,,,,,,,,,
32.2.4.9.2.d,A empresa pode comprovar para a inspeção do trabalho a capacitação dos trabalhadores através de documentos que informem o nome e a formação ou capacitação profissional do instrutor?,1,,,,,,,,,,,,,,,,,
32.2.4.9.2.e,A empresa pode comprovar para a inspeção do trabalho a capacitação dos trabalhadores através de documentos que informem o nome  dos respectivos trabalhadores?,1,,,,,,,,,,,,,,,,,
32.2.4.10 ," Em todo local onde exista a possibilidade de exposição a agentes biológicos, são fornecidas aos trabalhadores instruções escritas, em linguagem acessível, das rotinas realizadas no local de trabalho?",3,,,,,,,,,,,,,,,,,
32.2.4.10.a,"Em todo local onde exista a possibilidade de exposição a agentes biológicos, são fornecidas aos trabalhadores instruções escritas, em linguagem acessível, das medidas de prevenção de acidentes?",3,,,,,,,,,,,,,,,,,
32.2.4.10.b,"Em todo local onde exista a possibilidade de exposição a agentes biológicos, são fornecidas aos trabalhadores instruções escritas, em linguagem acessível, das doenças relacionadas ao trabalho?",3,,,,,,,,,,,,,,,,,
32.2.4.10.1 ,"As instruções são entregues ao trabalhador, mediante recibo, devendo este ficar à disposição da inspeção do trabalho?",1,,,,,,,,,,,,,,,,,
32.2.4.11 ,"Os trabalhadores comunicam imediatamente todo acidente ou incidente, com possível exposição a agentes biológicos, ao responsável pelo local de trabalho e, quando houver, ao serviço de segurança e saúde do trabalho e à CIPA?",,,,,,,,,,,,,,,,,,
32.2.4.12 ,"A empresa informa, imediatamente, aos trabalhadores e aos seus representantes qualquer acidente ou incidente grave que possa provocar a disseminação de um agente biológico suscetível de causar doenças graves nos seres humanos?",3,,,,,,,,,,,,,,,,,
32.2.4.13 ,"Os colchões, colchonetes e demais almofadados são revestidos de material lavável e impermeável, permitindo desinfecção e fácil higienização?",2,,,,,,,,,,,,,,,,,
32.2.4.13.a,"Os colchonetes são revestidos de material lavável e impermeável, permitindo desinfecção e fácil higienização?",2,,,,,,,,,,,,,,,,,
32.2.4.13.b,"Os demais almofadados são revestidos de material lavável e impermeável, permitindo desinfecção e fácil higienização",2,,,,,,,,,,,,,,,,,
32.2.4.13.1 ,"O revestimento não apresenta furos, rasgos, sulcos ou reentrâncias?",2,,,,,,,,,,,,,,,,,
32.2.4.14 ,Os trabalhadores que utilizarem objetos perfurocortantes são os responsáveis pelo seu descarte?,,,,,,,,,,,,,,,,,,
32.2.4.15 ,A empresa veda o reencape de agulhas?,4,,,,,,,,,,,,,,,,,
32.2.4.15.a,A empresa veda a desconexão manual de agulhas?,4,,,,,,,,,,,,,,,,,
32.2.4.16 ,"A empresa assegura o uso de materiais perfurocortantes com dispositivo de segurança, conforme cronograma a ser estabelecido pela CTPN?",4,,,,,,,,,,,,,,,,,
32.2.4.17 ,,,,,,,,,,,,,,,,,,,
32.2.4.17.1 ,"A todo trabalhador dos serviços de saúde é fornecido, gratuitamente, programa de imunização ativa contra tétano?",4,,,,,,,,,,,,,,,,,
32.2.4.17.1.a,"A todo trabalhador dos serviços de saúde é fornecido, gratuitamente, programa de imunização ativa contra difteria?",4,,,,,,,,,,,,,,,,,
32.2.4.17.1.b,"A todo trabalhador dos serviços de saúde é fornecido, gratuitamente, programa de imunização ativa contra hepatite B?",4,,,,,,,,,,,,,,,,,
32.2.4.17.1.c,"A todo trabalhador dos serviços de saúde é fornecido, gratuitamente, programa de imunização ativa conforme previsão no PCMSO?",4,,,,,,,,,,,,,,,,,
32.2.4.17.2 ,"Sempre que há vacinas eficazes contra outros agentes biológicos a que os trabalhadores estão, ou poderão estar, expostos, a empresa as fornece gratuitamente?",4,,,,,,,,,,,,,,,,,
32.2.4.17.3 ,A empresa faz o controle da eficácia da vacinação sempre que for recomendado pelo Ministério da Saúde e seus órgãos?,3,,,,,,,,,,,,,,,,,
32.2.4.17.3.a," A empresa providencia, se necessário, o reforço da vacinação?",3,,,,,,,,,,,,,,,,,
32.2.4.17.4 ,A vacinação obedece às recomendações do Ministério da Saúde?,3,,,,,,,,,,,,,,,,,
32.2.4.17.5 ,"A empresa assegura que os trabalhadores sejam informados das vantagens e dos efeitos colaterais, assim como dos riscos a que estarão expostos por falta ou recusa de vacinação?",3,,,,,,,,,,,,,,,,,
32.2.4.17.5.a,"A empresa, em caso de recusa de vacinação guardar documento comprobatório e o mantem disponível à inspeção do trabalho?",3,,,,,,,,,,,,,,,,,
32.2.4.17.6 ,"A vacinação é registrada no prontuário clínico individual do trabalhador, previsto na NR-07?",2,,,,,,,,,,,,,,,,,
32.2.4.17.7 , É fornecido ao trabalhador comprovante das vacinas recebidas?,2,,,,,,,,,,,,,,,,,
32.3 ,,,,,,,,,,,,,,,,,,,
32.3.1 ,É mantida a rotulagem do fabricante na embalagem original dos produtos químicos utilizados?,4,,,,,,,,,,,,,,,,,
32.3.2 ,"Todo recipiente contendo produto químico manipulado é identificado, de forma legível, por etiqueta com o nome do produto?",4,,,,,,,,,,,,,,,,,
32.3.2.a,Todo recipiente contendo produto químico manipulado é identificado por sua composição química?,4,,,,,,,,,,,,,,,,,
32.3.2.b,Todo recipiente contendo produto químico manipulado é identificado por sua concentração?,4,,,,,,,,,,,,,,,,,
32.3.2.c,Todo recipiente contendo produto químico manipulado é identificado por sua data de envase?,4,,,,,,,,,,,,,,,,,
32.3.2.d,Todo recipiente contendo produto químico manipulado é identificado por sua data de validade?,4,,,,,,,,,,,,,,,,,
32.3.2.e,Todo recipiente contendo produto químico fracionado é identificado pelo nome do responsável pela manipulação?,4,,,,,,,,,,,,,,,,,
32.3.2.f," Todo recipiente contendo produto químico fracionado é identificado, de forma legível, por etiqueta com o nome do produto",4,,,,,,,,,,,,,,,,,
32.3.2.g,Todo recipiente contendo produto químico fracionado é identificado por sua composição química?,4,,,,,,,,,,,,,,,,,
32.3.2.h,Todo recipiente contendo produto químico fracionado é identificado por sua concentração?,4,,,,,,,,,,,,,,,,,
32.3.2.i,Todo recipiente contendo produto químico fracionado é identificado por sua data de envase?,4,,,,,,,,,,,,,,,,,
32.3.2.j,Todo recipiente contendo produto químico fracionado é identificado por sua data de validade?,4,,,,,,,,,,,,,,,,,
32.3.2.k, Todo recipiente contendo produto químico fracionado é identificado pelo nome do responsável pelo fracionamento?,4,,,,,,,,,,,,,,,,,
32.3.3 ,A empresa veda o procedimento de reutilização das embalagens de produtos químicos?,4,,,,,,,,,,,,,,,,,
32.3.4 ,,,,,,,,,,,,,,,,,,,
32.3.4.1 ,"No PPRA consta inventário de todos os produtos químicos, com indicação daqueles que impliquem em riscos à segurança e saúde do trabalhador?",3,,,,,,,,,,,,,,,,,
32.3.4.1.a,"No PPRA consta inventário de todos os produtos químicos intermediários, com indicação daqueles que impliquem em riscos à segurança e saúde do trabalhador?",3,,,,,,,,,,,,,,,,,
32.3.4.1.b,"No PPRA consta inventário de todos os resíduos químicos gerados, com indicação daqueles que impliquem em riscos à segurança e saúde do trabalhador?",3,,,,,,,,,,,,,,,,,
32.3.4.1.1 ,,,,,,,,,,,,,,,,,,,
32.3.4.1.1.a.a,"Os produtos químicos que impliquem riscos à segurança e saúde do trabalhador, têm uma ficha descritiva contendo informações sobre as características e as formas de utilização do produto?",3,,,,,,,,,,,,,,,,,
32.3.4.1.1.a.b,"Os produtos químicos, inclusive intermediários que impliquem riscos à segurança e saúde do trabalhador, têm uma ficha descritiva contendo informações sobre as características e as formas de utilização do produto?",3,,,,,,,,,,,,,,,,,
32.3.4.1.1.a.c,"Os resíduos químicos que impliquem riscos à segurança e saúde do trabalhador, têm uma ficha descritiva contendo informações sobre as características e as formas de utilização do produto?",3,,,,,,,,,,,,,,,,,
32.3.4.1.1.b.a,"Os produtos químicos que impliquem riscos à segurança e saúde do trabalhador, têm uma ficha descritiva contendo informações sobre os riscos à segurança e saúde do trabalhador considerando as formas de utilização?",3,,,,,,,,,,,,,,,,,
32.3.4.1.1.b.b,"Os produtos químicos que impliquem riscos à segurança e saúde do trabalhador, têm uma ficha descritiva contendo informações sobre os riscos em relação ao meio ambiente, considerando as formas de utilização?",3,,,,,,,,,,,,,,,,,
32.3.4.1.1.b.c,"Os produtos químicos, inclusive intermediários, que impliquem riscos à segurança e saúde do trabalhador, têm uma ficha descritiva contendo informações sobre os riscos à segurança e saúde do trabalhador considerando as formas de utilização?",3,,,,,,,,,,,,,,,,,
32.3.4.1.1.b.d,"Os produtos químicos, inclusive intermediários, que impliquem riscos à segurança e saúde do trabalhador, têm uma ficha descritiva contendo informações sobre os riscos em relação ao meio ambiente, considerando as formas de utilização?",3,,,,,,,,,,,,,,,,,
32.3.4.1.1.b.e,"Os resíduos químicos que impliquem riscos à segurança e saúde do trabalhador, têm uma ficha descritiva contendo informações sobre os riscos à segurança e saúde do trabalhador considerando as formas de utilização?",3,,,,,,,,,,,,,,,,,
32.3.4.1.1.b.f,"Os resíduos químicos que impliquem riscos à segurança e saúde do trabalhador, têm uma ficha descritiva contendo informações sobre os riscos em relação ao meio ambiente, considerando as formas de utilização?",3,,,,,,,,,,,,,,,,,
32.3.4.1.1.c.a,"Os produtos químicos que impliquem riscos à segurança e saúde do trabalhador, têm uma ficha descritiva contendo informações sobre as medidas de proteção coletiva?",3,,,,,,,,,,,,,,,,,
32.3.4.1.1.c.b,"Os produtos químicos que impliquem riscos à segurança e saúde do trabalhador, têm uma ficha descritiva contendo informações sobre as medidas de proteção individual?",3,,,,,,,,,,,,,,,,,
32.3.4.1.1.c.c,"Os produtos químicos que impliquem riscos à segurança e saúde do trabalhador, têm uma ficha descritiva contendo informações sobre controle médico da saúde dos trabalhadores?",3,,,,,,,,,,,,,,,,,
32.3.4.1.1.c.d,"Os produtos químicos, inclusive intermediários, que impliquem riscos à segurança e saúde do trabalhador, têm uma ficha descritiva contendo informações sobre as medidas de proteção coletiva?",3,,,,,,,,,,,,,,,,,
32.3.4.1.1.c.e,"Os produtos químicos, inclusive intermediários, que impliquem riscos à segurança e saúde do trabalhador, têm uma ficha descritiva contendo informações sobre as medidas de proteção individual?",3,,,,,,,,,,,,,,,,,
32.3.4.1.1.c.f,"Os produtos químicos, inclusive intermediários, que impliquem riscos à segurança e saúde do trabalhador, têm uma ficha descritiva contendo informações sobre controle médico da saúde dos trabalhadores?",3,,,,,,,,,,,,,,,,,
32.3.4.1.1.c.g,"Os resíduos que impliquem riscos à segurança e saúde do trabalhador, têm uma ficha descritiva contendo informações sobre as medidas de proteção coletiva?",3,,,,,,,,,,,,,,,,,
32.3.4.1.1.c.h,"Os resíduos químicos que impliquem riscos à segurança e saúde do trabalhador, têm uma ficha descritiva contendo informações sobre as medidas de proteção individual?",3,,,,,,,,,,,,,,,,,
32.3.4.1.1.c.i,"Os resíduos químicos que impliquem riscos à segurança e saúde do trabalhador, têm uma ficha descritiva contendo informações sobre controle médico da saúde dos trabalhadores?",3,,,,,,,,,,,,,,,,,
